Ticker,GICS SubIndustry,Unpriced Operating Risk,Unpriced Value Score,Unpriced Quality Score,Composite Score,Score,EV/EBITDA,ROIC,Unlevered Beta
AREN,5020,98.2745585045402,61.737730115210006,79.59269635418481,79.868328324645,30.0,9823251.4132622,1.10481837,-0.5471809581479796
AZO,2550,99.51562163330057,67.42251426740066,63.86185241523975,76.933329438647,0.0,14607771.604340862,0.095457056,0.282509268926814
ORLY,2550,100.0,66.49423455047521,64.16369360654002,76.8859760523384,0.0,26611418.21844301,0.100982305,0.2449951946055528
NXXT,1010,70.6813646315123,61.438142266054015,94.62157325753181,75.58036005169937,40.0,-6486879.370639493,2.903989128,1.0879152577614297
EPSN,1010,99.86152575337188,67.02123816513404,57.580288427454875,74.8210174486536,8.0,7110471.617077824,0.004378676,0.3827454599770163
NJR,5510,93.98445770808127,69.07538193943844,58.02077709783634,73.69353891511868,10.0,8050001.713542309,-0.01052743,0.18954929056210978
FRPH,6020,96.44720289035473,64.67620798474094,56.999730857367716,72.70771391082113,0.0,47490432.19946323,-0.001994437,0.44959115844988334
ASC,1010,94.56987647115253,64.26521275705743,55.00706162070378,71.2807169496379,20.0,14433116.426144714,0.013905532,0.364095591473193
JOUT,2520,93.20948951210391,63.30807317216253,56.661082640010534,71.05954844142566,5.0,52674668.18044708,0.007841079,0.4462214302503826
LPG,1010,88.18185055635985,65.91824974309735,58.26063803219722,70.78691277721815,5.0,38885983.84968745,0.004422044,1.0387866979107654
RYI,1510,85.36069989849707,67.56388173440193,58.69291495751618,70.53916553013839,10.0,8346602.633294528,-0.008398691,1.2357826633001217
MKTX,4020,91.93217726737919,62.91255515674838,56.14664332234843,70.33045858215867,8.0,25283799.553398144,0.047624133,-0.12934899799894434
RSVR,5020,87.9797234007653,65.26663243657833,57.63955980484745,70.2953052140637,5.0,37708912.937935896,-0.001948973,0.7254699412472431
MTN,2530,89.32871043082524,67.27270992174103,52.87318255882809,69.82486763713145,0.0,6195723.430677848,-0.06421936,0.6639424205163148
CHH,2530,88.18888287554445,64.99592395174004,56.09170584712058,69.75883755813503,5.0,18770529.848522704,0.03723307,0.6196484846600845
PTEN,1010,83.13729503685668,67.80380376563443,58.061273087081844,69.66745729652432,5.0,3525247.077675465,-0.00862975,1.2914991960290259
CCRD,4510,89.42439810798935,63.87257264238933,54.88602273481014,69.39433116172961,5.0,26822563.690728944,0.03780788,0.6140201283268725
MAMA,3020,82.74181181717701,62.03762743733439,63.33666863065769,69.37203596172303,5.0,87724314.97038327,0.033571429,0.9312024292477682
AGNC,4020,83.11774748649714,64.12008537619819,60.40351183569112,69.21378156612882,8.0,2494466.0120056495,0.120761607,0.5690925504425388
AMCX,5020,84.15168942860198,65.67556756630486,56.742243563224044,68.85650018604363,10.0,1337524.6507952006,0.003993216,0.824990084599197
EFC,4020,86.78482952580391,65.01430679570349,54.65382315386222,68.81765315845654,0.0,8864615.695133008,-0.002346652,0.5122110502427646
CSV,2530,87.61822082991458,64.9506963100658,53.84301880635822,68.80397864877953,10.0,12111250.430682434,0.005304486,0.5445484491892493
GRMN,2520,82.39874714478239,64.24862911486694,58.88332777436716,68.51023467800549,5.0,30687417.167474985,0.032938106,0.9446566595418435
SWKH,4020,87.3306833942479,63.56782905381213,54.1728794660707,68.35713063804359,8.0,12917023.831662795,0.013712796,0.23526613715869277
ELA,2550,86.5901759558023,62.18729933072995,55.8534608613135,68.21031204928191,20.0,32063921.005494505,0.030601512,0.5630875713952586
KINS,4030,77.68531029171449,63.46542216495929,62.71979481728876,67.95684242465417,5.0,11018367.488382075,0.112394119,0.6571134025273184
LUCD,3510,81.83053481187484,61.58421744646498,59.24666755801974,67.55380660545319,20.0,-7321740.926668943,0.327022934,0.2512394161242613
AIP,4510,69.5940337494701,63.93492892235945,69.12548199614292,67.55148155599083,5.0,-40685951.44760636,2.795855243,2.1179411466105016
VRSN,4510,89.21049738009287,63.066163231166406,49.962172098803116,67.41294423668747,10.0,25075421.373184614,-0.736021301,0.4835176955654272
AVNT,1510,79.27481374522509,65.32097276257464,57.23834355584777,67.27804335454917,20.0,9912543.415959252,0.012175694,1.2871429607742202
SPR,2010,50.969367020734836,50.78716612220481,100.0,67.25217771431322,87.0,-5680751.580866471,8.284313725,0.9044228574316118
KREF,4020,84.11485474200522,64.12313595793907,53.50976821867719,67.24925297287383,8.0,2436893.3536419757,0.002319848,0.49008334022569566
VLGEA,3010,82.0949555212493,68.37800468846713,51.15013555808596,67.20769858926747,12.0,3207436.8919795435,0.002523584,0.41419723296064354
ESNT,4020,82.72321411306207,63.570606237837225,55.21819574226615,67.17067203105515,8.0,12864610.921381762,0.031672428,0.6003547542496988
CACI,2020,85.1012817146285,62.26771493227941,53.98030048273087,67.11643237654626,10.0,46564871.420530215,0.017434111,0.36785238377726215
PRKS,2530,81.49614095321495,64.7668112749533,54.94507679520776,67.069343007792,12.0,10876538.10843185,0.041363527,0.833511344913635
BL,4510,83.72548174633955,63.01557490976799,53.72059406025402,66.82055023878719,10.0,79843641.39183113,-0.008050836,0.8994974601365238
MPX,2520,83.60524349253396,61.56724534602554,55.23145789736539,66.80131557864162,20.0,33129541.09211111,0.025143243,0.604559465757265
LVWR,2510,74.86183738356071,71.50091013650258,53.88989375876687,66.75088042627672,5.0,-33877547.03271492,-0.244802171,3.1219285992795482
